id,researcher_id,researcher_name,surname,researcher_field,university,age,source_type,rank,profile,company_name,url,state,revenue,growth_%,company_industry,workers,previous_workers,founded,yrs_on_list,metro,city,industry,words,filtered_words,features,features_sparse,features_norm,prediction,distance_to_center
15955,15956,Betty M. G.,Ionescu-Hughes,Advertising & Marketing,Stockholm University,48,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
10888,10889,John X. Q.,Bennett-Turner,Advertising & Marketing,Politecnico di Milano,46,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
5252,5253,Donna O. P.,Green-Bianchi,Advertising & Marketing,University of Geneva,44,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
10968,10969,Henry F. S.,Gray-Brown,Advertising & Marketing,University of Vienna,43,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
4633,4634,Ava C. A.,Scott-Kowalski,Advertising & Marketing,Technical University of Munich,29,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
18403,18404,Emily,Smith-Wilson-Costa,Advertising & Marketing,University of Michigan,42,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
3979,3980,Michael,Walker-Dubois,Advertising & Marketing,ETH Zurich,46,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
9791,9792,Evelyn R. Q.,Kim-Durand,Advertising & Marketing,KTH Royal Institute of Technology,30,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
2049,2050,Sandra,Thomas-Bernard,Advertising & Marketing,Leiden University,33,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
13122,13123,Sarah,Santos-Bianchi,Advertising & Marketing,University of Cambridge,53,researcher,,,,,,,,,,,,,,,Advertising & Marketing,"['advertising', 'marketing']","['advertising', 'marketing']","[0.8231329917907715,-1.2691254019737244,0.28094279766082764,-0.8702724277973175,-0.5353284925222397,-0.41309893876314163,-0.27316130697727203,-1.6655545830726624,0.5887882858514786,0.1497858762741089,2.1236791610717773,0.3984277881681919,-2.2581666707992554,0.049649134278297424,1.2519856095314026,1.5661978721618652,0.5204668790102005,1.2736892700195312,1.0339393019676208,-1.1444648504257202,-0.16214564442634583,1.3237971067428589,-1.0761493146419525,-0.2092701941728592,-1.410071849822998,-0.8839081227779388,-0.0442633256316185,0.20498280227184296,-2.1745083928108215,-0.8340250253677368,-0.3520056828856468,-0.11646596901118755,-0.9599573910236359,-0.5845510512590408,1.0546957552433014,0.673535019159317,-1.4611111879348755,-0.8123148083686829,0.33965160325169563,0.8107406198978424,-0.5998263955116272,-0.42930158972740173,-0.858532264828682,-0.10568308085203171,-0.4886021092534065,-1.1602044701576233,0.2887331396341324,-0.9183816015720367,-1.3060175776481628,0.15383361466228962]","(36,[3,4],[1.0,1.0])","[0.11862604085914713,-0.1829003615349979,0.04048814969971185,-0.12541955383646572,-0.07714901511705002,-0.05953386886118512,-0.03936671799793507,-0.2400318636176582,0.08485338815402317,0.02158643336644693,0.30605461504458237,0.05741953189828328,-0.3254363200461867,0.007155198844241763,0.1804302555632317,0.22571304349298676,0.07500722953769114,0.18355808465225482,0.14900645108909139,-0.1649348713542614,-0.02336766480348005,0.19077938952739198,-0.15508955884702116,-0.03015903244327908,-0.20321289820679922,-0.12738466582449937,-0.006379021527875757,0.02954115376279678,-0.3133798839637604,-0.120195749318201,-0.0507293972384705,-0.016784525631227645,-0.13834452734407676,-0.08424273790806622,0.1519977731463146,0.09706668727860772,-0.2105684466645415,-0.11706697533577587,0.04894898560383788,0.11684011072492403,-0.08644414840857675,-0.06186891842727198,-0.12372761697340726,-0.01523054669452531,-0.07041502935031536,-0.16720319104505904,0.041610857007581346,-0.1323528208429111,-0.18821708772940995,0.0221697743140365]",6,4.725603982020457e-15
